Go.	Va !
Take it.	Prends-le !
Take it.	Prenez-le !
Tell me.	Dis-moi !
Tell me.	Dites-moi !
Tom won.	Tom a gagné.
Wake up!	Réveille-toi !
Wake up!	Réveille-toi !
Wake up!	Réveillez-vous !
Wake up.	Réveille-toi !
Wake up.	Réveillez-vous !
Wash up.	Lave-toi !
Wash up.	Lavez-vous !
We know.	Nous savons.
We lost.	Nous perdîmes.
We lost.	Nous avons perdu.
We lost.	Nous fûmes battus.
We lost.	Nous fûmes battues.
We lost.	Nous fûmes défaits.
We lost.	Nous fûmes défaites.
We lost.	Nous avons été défaits.
We lost.	Nous avons été défaites.
We lost.	Nous avons été battus.
We lost.	Nous avons été battues.
Who won?	Qui a gagné ?
Who won?	Qui l'a emporté ?
You run.	Tu cours.
Am I fat?	Suis-je gros ?
Am I fat?	Suis-je grosse ?
Back off.	Recule !
Back off.	Reculez.
Back off.	Retire-toi !
Back off.	Retirez-vous.
Be a man.	Sois un homme !
Be a man.	Soyez un homme !
Be still.	Sois calme !
Be still.	Soyez calme !
Be still.	Soyez calmes !
Beats me.	Aucune idée.
Beats me.	J'en sais foutre rien.
Call Tom.	Appelle Tom.
Call Tom.	Appelez Tom.
Cheer up!	Courage !
Cool off!	Détends-toi !
Cuff him.	Menottez-le.
Drive on.	Avance !
Drive on.	Avancez !
Drive on.	Continue à rouler !
Drive on.	Continuez à rouler !
Get down!	Lâche-toi !
Get down.	Descends !
Get down.	Descendez !
Get down.	Lâche-toi !
Get down.	Lâchez-vous !
Get lost!	Va voir ailleurs si j'y suis !
Get lost!	Dégage !
Get lost!	Va au diable !
Get real!	Sois réaliste !
Go ahead.	Vas-y.
Go ahead.	Poursuis !
Go ahead.	Passe devant !
Go ahead.	Vas-y !
Good job!	Bien joué !
Good job!	Bon boulot !
Good job!	Beau travail !
Grab him.	Attrape-le.
Grab him.	Attrapez-le.
Have fun.	Amuse-toi bien !
Have fun.	Amusez-vous bien !
He tries.	Il essaye.
He's wet.	Il est mouillé.
Hi, guys.	Salut, les mecs !
How cute!	Comme c'est mignon !
How deep?	Quelle profondeur ?
How nice!	Comme c'est chouette !
How nice!	Comme c'est gentil !
How nice!	C'est du joli !
How nice!	Comme c'est agréable !
Humor me.	Fais-moi rire.
Hurry up.	Dépêche-toi.
Hurry up.	Grouille !
Hurry up.	Pressez-vous !
Hurry up.	Fiça !
I am fat.	Je suis gras.
I did OK.	Je m'en suis bien sorti.
I did OK.	Je m'en suis bien sortie.
I did it.	Je l'ai fait.
I did it.	C'est moi qui l'ai fait.
I forgot.	J'ai oublié.
I get it.	J'ai compris.
I got it.	J'ai compris.
I got it.	J'ai capté.
I phoned.	Je téléphonai.
I phoned.	J'ai téléphoné.
I refuse.	Je refuse.
I refuse.	Je le refuse.
I saw it.	Je l'ai vu.
I saw it.	Je l’ai vu.
I stayed.	Je suis resté.
I stayed.	Je suis restée.
I use it.	Je l'utilise.
I use it.	J'en fais usage.
I use it.	Je m'en sers.
I'll pay.	Je paierai.
I'll try.	J'essaierai.
I'm back.	Je suis revenu.
I'm back.	Me revoilà.
I'm bald.	Je suis chauve.
I'm busy.	Je suis occupé.
I'm busy.	Je suis occupée.
I'm calm.	Je suis calme.
I'm cold.	J'ai froid.
I'm done.	J'en ai fini.
I'm fine.	Tout va bien.
I'm fine.	Je vais bien.
I'm fine.	Ça va.
I'm free!	Je suis libre !
I'm free.	Je suis libre.
I'm free.	Je suis disponible.
I'm full.	Je suis repu !
I'm full.	Je suis rassasié !
I'm glad.	Je suis content.
I'm home.	Je suis chez moi.
I'm late.	Je suis en retard.
I'm lazy.	Je suis paresseux.
I'm lazy.	Je suis fainéant.
I'm lazy.	Je suis paresseuse.
I'm lazy.	Je suis fainéante.
I'm okay.	Je vais bien.
I'm okay.	Je me porte bien.
I'm safe.	Je suis en sécurité.
I'm sick.	Je suis malade.
I'm sure.	J'en suis certain.
I'm sure.	Je suis certain.
I'm sure.	J'en suis sûr.
I'm sure.	J'en suis sûre.
I'm tall.	Je suis grande.
I'm thin.	Je suis mince.
I'm tidy.	Je suis ordonné.
I'm tidy.	Je suis ordonnée.
I'm ugly.	Je suis laid.
I'm ugly.	Je suis laide.
I'm weak.	Je suis faible.
I'm well.	Je vais bien.
I'm well.	Je me porte bien.
I've won.	J'ai gagné.
I've won.	Je l'ai emporté.
It works.	Elle marche.
It works.	Ça fonctionne.
It's his.	C'est le sien.
It's his.	C'est la sienne.
It's new.	C'est nouveau.
It's new.	C'est neuf.
It's odd.	C'est bizarre.
It's sad.	C’est triste.
Keep out!	Défense d'entrer.
Keep out.	N'entrez pas.
Leave it.	Laisse tomber !
Leave it.	Laissez tomber !
Leave me.	Laissez-moi !
Leave us.	Laisse-nous !
Leave us.	Laissez-nous !
Let's go!	Allons-y !
Let's go!	Allons !
Let's go.	Allons-y !
Look out!	Attention !
Marry me.	Épouse-moi !
Marry me.	Épousez-moi !
May I go?	Puis-je partir ?
May I go?	Puis-je y aller ?
May I go?	Puis-je m'y rendre ?
She came.	Elle est venue.
She died.	Elle est morte.
She runs.	Elle court.
Sit down!	Assieds-toi !
Sit down!	Asseyez-vous !
Sit here.	Assieds-toi ici.
Sit here.	Asseyez-vous ici.
Speak up!	Parle plus fort !
Speak up!	Parlez plus fort !
Stop Tom.	Arrête Tom.
Stop Tom.	Stoppez Tom.
Terrific!	Génial !
Terrific!	Excellent !
Terrific!	Formidable !
They won.	Ils gagnèrent.
They won.	Elles gagnèrent.
They won.	Ils ont gagné.
They won.	Elles ont gagné.
Tom came.	Tom est venu.
Tom died.	Tom est mort.
Tom left.	Tom est parti.
Tom left.	Tom partit.
Tom lost.	Tom a perdu.
Too late.	Trop tard.
Trust me.	Faites-moi confiance.
Trust me.	Fais-moi confiance.
Try hard.	Fais un effort.
Try some.	Essaies-en !
Try some.	Essayez-en !
Try this.	Essaie ceci !
Try this.	Essayez ceci !
Use this.	Utilise ceci.
Use this.	Utilisez ceci.
Use this.	Emploie ceci !
Use this.	Employez ceci !
Warn Tom.	Avertis Tom.
Warn Tom.	Préviens Tom.
Watch me.	Regarde-moi !
Watch me.	Regardez-moi !
Watch us.	Regardez-nous !
Watch us.	Regarde-nous !
We agree.	Nous sommes d'accord.
We'll go.	Nous irons.
What for?	Pour quoi faire ?
What for?	À quoi bon ?
What fun!	Qu'est-ce qu'on s'est marrés !
What fun!	Qu'est-ce qu'on s'est marrées !
Who died?	Qui est mort ?
Who's he?	Qui est-il ?
Write me.	Écris-moi !
Write me.	Écrivez-moi !
After you.	Après vous.
Aim. Fire!	En joue ! Feu !
Am I late?	Suis-je en retard ?
Answer me.	Répondez-moi.
Be seated.	Assieds-toi !
Be seated.	Asseyez-vous !
Birds fly.	Les oiseaux volent.
Bless you.	À tes souhaits !
Call home!	Appelle à la maison !
Calm down!	Calmez-vous !
Calm down.	Calme-toi.
Can we go?	Pouvons-nous partir ?
Can we go?	Pouvons-nous nous en aller ?
Can we go?	Pouvons-nous y aller ?
Catch him.	Rattrape-le.
Come back.	Reviens !
Come back.	Revenez !
Come here.	Viens ici.
Come here.	Venez là.
Come soon.	Venez bientôt !
Cool down.	Calmez-vous !
Did I win?	Ai-je gagné ?
Did I win?	L'ai-je emporté ?
Go get it.	Allez le chercher !
Go inside.	Entrez !
Go to bed.	Va au lit !
Go to bed.	Allez au lit !
Hold this.	Tenez ceci !
Hold this.	Tiens ceci !
I'm yours.	Je suis à toi.
I'm yours.	Je suis à vous.
I've lost.	J'ai perdu.
Is Tom OK?	Est-ce que Tom va bien ?
Is Tom OK?	Tom va-t-il bien ?
Is it bad?	C'est grave ?
Is it far?	Est-ce éloigné ?
Is it far?	Est-ce loin ?
Is it you?	Est-ce toi ?
It failed.	Ça a échoué.
It snowed.	Il a neigé.
It stinks.	Ça sent mauvais.
It stinks.	Ça pue.
It's work.	C'est du boulot.
Let it be.	Ainsi soit-il.
Let it be.	Laisse faire.
Let me go!	Laisse-moi partir !
Let me go!	Laissez-moi partir !
Let me in.	Laissez-moi entrer.
Let's ask.	Demandons.
Let's see.	Voyons voir !
